,district_id,total_rev,total_locrev,pta_rev,prop_taxes,sales_taxes,public_utility_taxes,income_taxes,other_taxes,total_salaries,salaries_instruction,salaries_teachers
6508,2506810.0,3146000,2491000,2156000,0,0,0,0,0,1672000,1025000,537000
6509,2506840.0,139790000,110310000,105568000,0,0,0,0,0,78228000,53505000,35915000
6510,2506900.0,28440000,24229000,11759000,0,0,0,0,0,15978000,10631000,4424000
6511,2506930.0,35446000,27207000,0,0,0,0,0,0,18382000,12946000,9907000
6512,2506960.0,28374000,20994000,18815000,0,0,0,0,0,13650000,9150000,5548000
6513,2506990.0,48683000,37300000,35567000,0,0,0,0,0,27269000,19046000,13090000
6514,2507020.0,243875000,60326000,55818000,0,0,0,0,0,126756000,91631000,57591000
6515,2507050.0,43332000,24037000,22013000,0,0,0,0,0,24540000,15972000,9743000
6516,2507080.0,32369000,14403000,13301000,0,0,0,0,0,12378000,8762000,6143000
6517,2507110.0,275828000,60117000,54337000,0,0,0,0,0,124375000,90420000,50129000
6518,2507140.0,37057000,28290000,26191000,0,0,0,0,0,20912000,15077000,10800000
6519,2507170.0,118669000,43674000,38867000,0,0,0,0,0,57399000,42197000,24037000
6520,2507230.0,67355000,40216000,36969000,0,0,0,0,0,38645000,26166000,17759000
6521,2507260.0,54995000,42199000,39897000,0,0,0,0,0,30596000,20758000,13535000
6522,2507290.0,7841000,6267000,6116000,0,0,0,0,0,4246000,3296000,2270000
6523,2507320.0,87313000,53231000,51202000,0,0,0,0,0,47472000,31206000,20578000
6524,2507350.0,69563000,40686000,38339000,0,0,0,0,0,39213000,27584000,19304000
6525,2507380.0,24053000,16370000,0,0,0,0,0,0,12608000,8272000,4888000
6526,2507410.0,36008000,25182000,0,0,0,0,0,0,18683000,13070000,9874000
6527,2507440.0,33750000,24360000,23262000,0,0,0,0,0,16637000,11703000,7675000
6528,2507470.0,9391000,7719000,7552000,0,0,0,0,0,4752000,3585000,2350000
6529,2507500.0,27100000,18958000,17227000,0,0,0,0,0,14251000,8653000,5675000
6530,2507530.0,42626000,31401000,29521000,0,0,0,0,0,25747000,17667000,13609000
6531,2507560.0,91399000,63630000,58930000,0,0,0,0,0,48310000,31723000,19439000
6532,2507590.0,38818000,23969000,21554000,0,0,0,0,0,21068000,14222000,10769000
6533,2507620.0,56420000,40832000,33989000,0,0,0,0,0,26493000,19486000,10687000
6534,2507680.0,40296000,21247000,0,0,0,0,0,0,19768000,15138000,9439000
6535,2507740.0,106509000,42235000,38383000,0,0,0,0,0,59289000,40056000,27930000
6536,2507770.0,48803000,23348000,21884000,0,0,0,0,0,25382000,17580000,12179000
6537,2507830.0,12708000,9769000,9239000,0,0,0,0,0,7487000,5072000,3263000
6538,2507860.0,67949000,34481000,31397000,0,0,0,0,0,36983000,26990000,17526000
6539,2507890.0,28553000,17940000,16981000,0,0,0,0,0,15841000,11256000,7559000
6540,2507920.0,20743000,13407000,11572000,0,0,0,0,0,12761000,8485000,5558000
6541,2507980.0,64566000,49178000,44097000,0,0,0,0,0,37901000,25437000,17328000
6542,2507985.0,24031000,18342000,0,0,0,0,0,0,13031000,7500000,0
6543,2507990.0,20734000,11725000,0,0,0,0,0,0,10460000,6620000,3361000
6544,2508040.0,18408000,7969000,7228000,0,0,0,0,0,9988000,6044000,3868000
6545,2508050.0,31375000,11984000,0,0,0,0,0,0,16096000,9911000,0
6546,2508160.0,12068000,8654000,0,0,0,0,0,0,6333000,4452000,3335000
6547,2508220.0,5252000,4332000,4114000,0,0,0,0,0,1401000,932000,645000
6548,2508250.0,36060000,29990000,28652000,0,0,0,0,0,20294000,12732000,8872000
6549,2508280.0,22969000,8857000,0,0,0,0,0,0,11344000,7843000,4732000
6550,2508310.0,57723000,42171000,0,0,0,0,0,0,33635000,22350000,15177000
6551,2508320.0,15792000,9433000,0,0,0,0,0,0,7344000,4808000,0
