,school_id,grad_rate_all,grad_rate_native,grad_rate_asian,grad_rate_black,grad_rate_hispanic,grad_rate_mixed,grad_rate_linc
457,20010000599.0,,,,,,,
458,20010000630.0,80.0,,,,,,
459,20012000634.0,,,,,,,80.0
460,20013000252.0,,,,,,,
461,20013000253.0,76.0,50.0,,,,,70.0
462,20013000635.0,,,,,,,
463,20015000047.0,90.0,80.0,,,,,70.0
464,20015000048.0,40.0,,,,,,40.0
465,20015000427.0,,,,,,,
466,20018000057.0,86.0,,90.0,80.0,80.0,80.0,85.0
467,20018000069.0,93.0,,,,,,85.0
468,20018000073.0,91.0,80.0,90.0,,,,85.0
469,20018000075.0,84.0,60.0,90.0,80.0,85.0,70.0,83.0
470,20018000101.0,,,,,,,
471,20018000109.0,35.0,21.0,21.0,,,21.0,30.0
472,20018000110.0,30.0,30.0,21.0,40.0,21.0,21.0,30.0
473,20018000115.0,,,,,,,
474,20018000120.0,88.0,70.0,85.0,,85.0,80.0,85.0
475,20018000121.0,,,,,,,
476,20018000178.0,70.0,,,,,,80.0
477,20018000341.0,,,,,,,
478,20018000399.0,,,,,,,
479,20018000432.0,30.0,,,,,,30.0
480,20018000454.0,94.0,,,,,,90.0
481,20018000458.0,90.0,,,,,,80.0
482,20018000509.0,,,,,,,
483,20018000530.0,60.0,,,,,,40.0
484,20018000531.0,92.0,,,,,80.0,90.0
485,20018000555.0,,,,,,,
486,20018000714.0,50.0,,,,,,50.0
487,20018000756.0,60.0,,,,,,
488,20021000125.0,,,,,,,
489,20021000133.0,90.0,,,,,,
490,20021000396.0,,,,,,,
491,20021000737.0,,,,,,,
492,20021000738.0,55.0,40.0,,,,,40.0
493,20024000035.0,,,,,,,
494,20024000142.0,,,,,,,
495,20024000143.0,85.0,,,,,,
496,20027000639.0,,,,,,,
497,20027000670.0,,,,,,,
498,20030000641.0,,,,,,,
499,20033000148.0,,,,,,,
500,20033000746.0,,,,,,,
501,20036000150.0,,,,,,,
502,20039000079.0,30.0,,,,,,21.0
503,20039000081.0,,,,,,,
504,20039000153.0,,,,,,,
505,20039000157.0,,,,,,,
506,20039000158.0,90.0,,,,,,
507,20039000159.0,,,,,,,
508,20039000164.0,,,,,,,
509,20039000165.0,,,,,,,
510,20039000168.0,,,,,,,
511,20039000175.0,,,,,,,
512,20039000397.0,65.0,,,,,,50.0
513,20039000513.0,,,,,,,
514,20039000536.0,,,,,,,
515,20039000537.0,90.0,,,,,,80.0
516,20039000540.0,,,,,,,
517,20039000542.0,,,,,,,80.0
518,20039000612.0,,,,,,,
519,20039000645.0,,,,,,,
520,20039000718.0,,,,,,,
521,20039000735.0,,,,,,,
522,20045000179.0,,,,,,,
523,20048000180.0,,,,,,,
524,20048000181.0,,,,,,,
525,20048000185.0,90.0,,90.0,,,,90.0
526,20048000187.0,,,,,,,
527,20048000191.0,,,,,,,
528,20048000402.0,,,,,,,
529,20048000405.0,,,,,,,
530,20048000435.0,40.0,,,,,,
531,20048500195.0,,,,,,,
532,20048500197.0,,,,,,,
533,20048500199.0,,,,,,,
534,20048500200.0,,,,,,,
535,20048500204.0,,,,,,,
536,20048500205.0,,,,,,,
537,20051000224.0,65.0,60.0,,,,,60.0
538,20051000225.0,,,,,,,
539,20051000227.0,85.0,,,,,,80.0
540,20051000232.0,70.0,,,,,,
541,20051000237.0,91.0,,,,,,85.0
542,20051000407.0,,,,,,,
543,20051000425.0,50.0,,,,,,40.0
544,20051000452.0,,,,,,,
545,20051000469.0,60.0,,,,,,
546,20051000586.0,80.0,60.0,,,,,70.0
547,20051000711.0,95.0,,,,,,
548,20051000720.0,50.0,21.0,,,,,50.0
549,20051000731.0,,,,,,,
550,20051000734.0,,,,,,,
551,20051000747.0,,,,,,,
552,20052000241.0,,,,,,,
553,20052000242.0,,,,,,,
554,20052000245.0,,,,,,,
555,20052000247.0,,,,,,,
556,20052000327.0,,,,,,,
557,20052500648.0,,,,,,,
558,20054000251.0,,,,,,,
559,20054000321.0,15.0,,,,,,
560,20057000332.0,,,,,,,
561,20057000426.0,,,,,,,
562,20057000568.0,70.0,60.0,,,,,60.0
563,20060000049.0,,,,,,,
564,20060000260.0,,,,,,,
565,20060000270.0,75.0,,,60.0,,60.0,60.0
566,20060000273.0,80.0,,,,,,60.0
567,20060000281.0,84.0,60.0,,,60.0,,70.0
568,20060000325.0,21.0,,,,,,
569,20060000462.0,45.0,60.0,,,,,40.0
570,20060000464.0,60.0,,,,,,40.0
571,20060000587.0,50.0,,,,,,
572,20060000650.0,90.0,,,,,,
573,20061000283.0,,,,,,,
574,20061000284.0,,,,,,,
575,20061000286.0,80.0,,,,,,
576,20061000287.0,,,,,,,
577,20061000288.0,,,,,,,
578,20061000289.0,,,,,,,
579,20061000291.0,,,,,,,
580,20061000470.0,40.0,40.0,,,,,
581,20062500292.0,,,,,,,
582,20062500293.0,,,,,,,
583,20062500294.0,,,,,,,
584,20062500295.0,,,,,,,
585,20062500300.0,,,,,,,
586,20062500301.0,,,,,,,
587,20062500302.0,,,,,,,
588,20062500303.0,,,,,,,
589,20062500394.0,60.0,60.0,,,,,
590,20062500569.0,,,,,,,
591,20062500748.0,,,,,,,
592,20063000304.0,,,,,,,
593,20066000570.0,,,,,,,
594,20067000307.0,,,,,,,
595,20067000308.0,,,,,,,
596,20068000659.0,,,,,,,
597,20069000310.0,,,,,,,
598,20070000314.0,,,,,,,
599,20070000322.0,,,,,,,
600,20070000326.0,,,,,,,
601,20070000484.0,,,,,,,
602,20070000589.0,,,,,,,
603,20071000333.0,,,,,,,
604,20071000335.0,,,,,,,
605,20071000336.0,,,,,,,
606,20071000338.0,,,,,,,
607,20071000573.0,,,,,,,
608,20071500488.0,,,,,,,
609,20072000661.0,,,,,,,
610,20073000342.0,,,,,,,
611,20073000344.0,,,,,,,
612,20073000477.0,,,,,,,
613,20073000490.0,,,,,,,
614,20076000352.0,,,,,,,
615,20076000663.0,,,,,,,
616,20076000665.0,,,,,,,
617,20077000354.0,,,,,,,
618,20077000357.0,,,,,,,
619,20077000447.0,30.0,,,,,,
620,20077500358.0,,,,,,,
621,20077500361.0,,,,,,,
622,20077500362.0,,,,,,,
623,20077500366.0,,,,,,,
624,20078000370.0,80.0,,,,,,
625,20078000753.0,,,,,,,
626,20080000371.0,,,,,,,
627,20080000372.0,,,,,,,
628,20080000496.0,60.0,,,,,,
629,20080000553.0,,,,,,,
630,20081000576.0,,,,,,,
631,20084000667.0,,,,,,,
632,20084000749.0,,,,,,,
633,20086200377.0,,,,,,,
634,20086200380.0,,,,,,,
635,20086200383.0,,,,,,,
636,20086200384.0,,,,,,,
637,20086200385.0,,,,,,,
638,20086200453.0,45.0,30.0,,,,,40.0
639,20086200757.0,,,,,,,
640,40000101204.0,95.0,,,,,,
641,40000301458.0,85.0,,,,80.0,,85.0
642,40001600476.0,60.0,,,,,,
643,40001600481.0,80.0,,,,80.0,,
644,40001900498.0,,,,,,,
645,40002101276.0,70.0,,,,,,
646,40002301524.0,75.0,75.0,,,,,
647,40002601460.0,80.0,,,,,,
648,40003600709.0,,,,,,,
649,40003603421.0,,,,,,,
650,40004100718.0,,,,,,,
651,40004300733.0,80.0,,,,,,
652,40004700744.0,60.0,60.0,,,,,
653,40004703031.0,11.0,,,,,,
654,40005200752.0,,,,,,,
655,40005300754.0,,,,,,,
656,40005600781.0,,,,,,,
657,40005700784.0,11.0,,,,11.0,,20.0
658,40006101742.0,11.0,,,,,,
659,40006503395.0,,,,,,,
660,40006701901.0,,,,,,,
661,40007000831.0,,,,,,,
662,40007402185.0,,,,,,,
663,40007700943.0,,,,,,,
664,40007801006.0,35.0,,,,30.0,,30.0
665,40007802386.0,40.0,,,,,,
666,40007901008.0,,,,,6.0,,
667,40007903035.0,,,,,,,
668,40008101010.0,,,,,,,
669,40008200006.0,,,,,,,
670,40008201457.0,92.0,,,,,,90.0
671,40008203225.0,20.0,,,,20.0,,11.0
672,40008301011.0,15.0,,,,10.0,,15.0
673,40008301014.0,20.0,,,,30.0,,30.0
674,40008301015.0,20.0,,,,20.0,,20.0
675,40008301016.0,20.0,,,,20.0,,11.0
676,40008301017.0,21.0,,,,21.0,,21.0
677,40008301018.0,30.0,,,,21.0,,21.0
678,40008301020.0,,,,,,,
679,40009401109.0,40.0,,,,30.0,,30.0
680,40009501114.0,30.0,,,,30.0,,20.0
681,40009701178.0,,,,,,,
682,40009901182.0,30.0,,,,,,40.0
683,40010301583.0,11.0,,,,,,
684,40010301724.0,20.0,,,,,,
685,40010302008.0,15.0,,,,11.0,,
686,40010302139.0,,,,,,,
687,40010302329.0,15.0,,,,11.0,,
688,40010302855.0,6.0,,,,,,
689,40010302950.0,10.0,,,,10.0,,
690,40010601892.0,,,,,,,
691,40010701590.0,,,,,,,
692,40010702650.0,38.0,,,21.0,35.0,,
693,40010802145.0,50.0,,,40.0,50.0,,
694,40010802146.0,,,,,,,
695,40010803162.0,,,,,,,
696,40011203179.0,85.0,,,,,,80.0
697,40011203475.0,80.0,,,,60.0,,
698,40012101581.0,75.0,,,,,,
699,40012401589.0,11.0,,,,11.0,,
700,40012501619.0,,,,,,,
701,40012901790.0,,,,,,,
702,40013001803.0,,,,,,,
703,40013301888.0,,,,,,,
704,40014401717.0,,,,,,,
705,40014701787.0,40.0,40.0,,,,,40.0
706,40014901897.0,25.0,,,,20.0,,
707,40014903386.0,80.0,,,,60.0,,80.0
708,40015301902.0,30.0,,,,21.0,,
709,40015401770.0,,,,,,,
